codigo,producto,precio_c_iva,,,,
CC-60,"Cola Crom. Forr. Ventilada Ø2""1/2 x 145mm  Ø Ext. entrada 2""",16961.86,,,,
CC-61,"Cola Crom. Forr. Ventilada Ø3"" x 145mm Ø Ext. entrada 2"" 1/8",20611.87,,,,
CC-500,"Cola Crom. Ø Int. entr. 2""1/2 - Ø Ext. salida 3""1/2 (Recta)",22758.94,,,,
CC-501,"Cola Crom. ØInt. ent. 2""1/2- ØExt. salida 3""1/2 Rulo adentro",22758.94,,,,
CC-510,"Cola Crom. Ø Int. entr. 3"" - Ø Ext. salida 4"" (Recta)",28448.68,,,,
CC-511,"Cola Crom. Ø Int. entr. 3"" - Ø Ext. salida 4"" (Rulo adentro)",28448.68,,,,
CC-520,"Cola Crom. Ø Int. entr. 3""1/2 - Ø Ext. salida 4""1/2 (Recta)",31293.55,,,,
CC-521,"Cola Crom. ØInt. ent. 3""1/2- ØExt. salida 4""1/2 Rulo adentro",31293.55,,,,
CC-530,"Cola Crom. Ø Int. entr. 4"" - Ø Ext. salida 5"" (Recta)",33655.33,,,,
CC-531,"Cola Crom. Ø Int. entr. 4"" - Ø Ext. salida 5"" (Rulo adentro)",33655.33,,,,
CC-540,"Cola Crom. Ø Int. entr. 4""1/2 - Ø Ext. salida 5""1/2 (Recta)",40096.54,,,,
CC-541,"Cola Crom. ØInt. ent. 4""1/2- ØExt. salida 5""1/2 Rulo adentro",40096.54,,,,
CF-1,"Caño Flexible Hierro Galvanizado 1""3/4 x 0.5 mtrs",19846.47,,,,
CF-2,"Caño Flexible Hierro Galvanizado 1""3/4 x 1 mtrs",39607.75,,,,
CF-3,"Caño Flexible Hierro Galvanizado 1""3/4 x 1.5 mtrs",59454.23,,,,
CF-4,"Caño Flexible Hierro Galvanizado 1""7/8 x 0.5 mtrs",21209.32,,,,
CF-5,"Caño Flexible Hierro Galvanizado 1""7/8 x 1 mtrs",42418.63,,,,
CF-6,"Caño Flexible Hierro Galvanizado 1""7/8 x 1.5 mtrs",63627.99,,,,
CF-7,"Caño Flexible Hierro Galvanizado 2"" x 0.5 mtrs",22572.16,,,,
CF-8,"Caño Flexible Hierro Galvanizado 2"" x 1 mtrs",45144.34,,,,
CF-9,"Caño Flexible Hierro Galvanizado 2"" x 1.5 mtrs",67716.51,,,,
CF-10,"Caño Flexible Hierro Galvanizado 3"" x 0.5 mtrs",33815.67,,,,
CF-11,"Caño Flexible Hierro Galvanizado 3"" x 1 mtrs",67631.33,,,,
CF-12,"Caño Flexible Hierro Galvanizado 3"" x 1.5 mtrs",101447.0,,,,
CF-13,"Caño Flexible Hierro Galvanizado 3""1/2 x 0.5 mtrs",39352.23,,,,
CF-14,"Caño Flexible Hierro Galvanizado 3""1/2 x 1 mtrs",78704.46,,,,
CF-15,"Caño Flexible Hierro Galvanizado 3""1/2 x 1.5 mtrs",118056.71,,,,
CF-16,"Caño Flexible Hierro Galvanizado 4"" x 0.5 mtrs",45059.16,,,,
CF-17,"Caño Flexible Hierro Galvanizado 4"" x 1 mtrs",90033.13,,,,
CF-18,"Caño Flexible Hierro Galvanizado 4"" x 1.5 mtrs",135092.3,,,,
CF-19,"Caño Flexible Hierro Galvanizado 4""1/2 x 0.5 mtrs",50595.72,,,,
CF-20,"Caño Flexible Hierro Galvanizado 4""1/2 x 1 mtrs",101191.48,,,,
CF-21,"Caño Flexible Hierro Galvanizado 4""1/2 x 1.5 mtrs",151787.2,,,,
CF-22,"Caño Flexible Hierro Galvanizado 5"" x 0.5 mtrs",56302.66,,,,
CF-23,"Caño Flexible Hierro Galvanizado 5"" x 1 mtrs",112520.15,,,,
CF-24,"Caño Flexible Hierro Galvanizado 5"" x 1.5 mtrs",168822.79,,,,
CR-860,"Caño recto Ø 1"" 1/4 - 31.75 mm",28341.33,,,,
CR-861,"Caño recto Ø 1"" 3/8 - 34.92 mm",31776.64,,,,
CR-862,"Caño recto Ø 1"" 1/2 - 38.1 mm",27214.12,,,,
CR-863,"Caño recto Ø 1"" 5/8 - 41.27 mm",35265.63,,,,
CR-864,"Caño recto Ø 1"" 3/4 - 44.45 mm",38056.82,,,,
CR-865,"Caño recto Ø 1"" 7/8 - 47.62 mm",40311.24,,,,
CR-866,"Caño recto Ø 2"" - 50.8 mm",42780.37,,,,
CR-867,"Caño recto Ø 2"" 1/4 - 57.15 mm",48577.46,,,,
CR-868,"Caño recto Ø 2"" 1/2 - 63.5 mm",52334.84,,,,
CR-869,"Caño recto Ø 3"" - 76.2 mm",64304.75,,,,
CR-870,"Caño recto Ø 3"" 1/2 - 88.9 mm",85882.81,,,,
CR-871,"Caño recto Ø 4""  - 101.60 mm",100912.3,,,,
CR-872,"Caño recto Ø 4"" 1/2 - 114.30 mm",113096.93,,,,
CR-873,"Caño recto Ø 5"" - 127 mm",130966.81,,,,
CS-9031,Camara con Sordina Juki Dribbling,12345.65,,,,
CS-9032,Camara con Sordina Mondial S-1,12345.65,,,,
CS-9050,Camara con Sordina Garelli NOI,12345.65,,,,
CS-9052,Camara con Sil.  Garelli NOI'92,12345.65,,,,
CU-840,"Cupla Ø1"" 1/2 - Largo: 100mm - Aboq. a Ø1"" 5/8",5636.06,,,,
CU-841,"Cupla Ø1"" 5/8 - Largo: 120mm - Aboq. a Ø1"" 3/4",5958.12,,,,
CU-842,"Cupla Ø1"" 3/4 - Largo: 120mm - Aboq. a Ø1"" 7/8",6065.47,,,,
CU-843,"Cupla Ø1"" 7/8 - Largo: 120mm - Aboq. a Ø2""",6172.83,,,,
CU-844,"Cupla Ø2"" - Largo: 120mm - Aboq. a Ø2"" 1/8",6280.18,,,,
CU-845,"Cupla Ø2"" 1/4 - Largo: 120mm - Aboq. a Ø2"" 3/8",6548.56,,,,
CU-846,"Cupla Ø2"" 1/2 - Largo: 160mm - Aboq. a Ø2"" 3/8",7407.39,,,,
CU-847,"Cupla Ø3"" - Largo: 160mm - Aboq. a Ø3"" 1/8",8051.51,,,,
CU-848,"Cupla Ø3"" 1/2 - Largo: 180mm - Aboq. a Ø3"" 5/8",9876.52,,,,
CU-849,"Cupla Ø4"" - Largo: 180mm - Aboq. a Ø4"" 1/8",10842.7,,,,
CU-850,"Cupla Ø4"" 1/2 - Largo: 200mm - Aboq. a Ø4"" 5/8",12399.33,,,,
