codigo,producto,precio_c_iva,,,,
JSU-38,Junta Chevr.Vectra/Calibra,3697.28,,,,
JSU-39,Jta Chevrolet Corsa 4Cil.1.7L Dies-Ac.Prens.,2064.36,,,,
JSU-40,Jta.Chevr.Corsa II/Meriva TD1.7L/N1.0L,1882.64,,,,
JSU-41,Jta.Toy.Hilux Corolla/Celica/Hilux-Runner 4x2,2227.09,,,,
JSU-42,Jta.Toy.Hilux 4x4 4x2/Rav4/Camry/Dyna-Ac.Prens.,2395.97,,,,
JSU-43,Junta Toyota Hilux-Hilux Sw 4-Ac.Prensado,2572.39,,,,
JSU-44,Jta.Toy.Corolla/Land Cruiser Prado/Rav4/Corona,2115.04,,,,
JSU-45,Junta Toyota Hilux-08/Lan Cruiser-Ac.Prens.,4707.69,,,,
JSU-46,Jta.Toyota Corolla/Rav 4-Acero Prensado,3645.07,,,,
JSU-47,Jta.Toyota Corolla-Acero Prensado,4440.21,,,,
JSU-48,Jta.Toyota Corolla-Acero Prensado,4198.36,,,,
JSU-50,Jta.VW Gacel/Senda/Saveiro/Santana-Ac.Prens.,3085.44,,,,
JSU-51,Jta.Honda Accord/Civic/Prelude/Cr-v/Odissey-Ac.Pre,2395.97,,,,
JSU-53,Junta Renault Kwid 1.0L 12 V,3085.44,,,,
JSU-55,Junta Renault Master,3476.95,,,,
JSU-56,Jta.Nissan Tiida,3464.01,,,,
JSU-57,Jta.Nissan Tiida,3993.22,,,,
JSU-58,Jta.Perkins 4-236  4-248,2448.43,,,,
JSU-59,Jta.Chery Tiggo 2.0N 16V,5984.07,,,,
JSU-62,Sal. esc. FORD RANGER (70.5mm ;89mm),5653.78,,,,
M-9006,Silenc.Zanella Sol 70.New Fire.Sol Plus 98 y Top,43387.21,,,,
M-9007,Silenciador Zanella Cargo,43387.21,,,,
M-9032,Silenciador(Original)Mondial S-1,46988.52,,,,
M-9033,Silenciador Mondial M1,46302.55,,,,
M-9034,Silenc.Juki Pista 70/50.Siambreta 50 Y Aurora 50,49732.37,,,,
M-9035,Silenciador Mondial 100 Jet,48874.92,,,,
M-9200,Silenc.Yamaha Jog 50 Mod.90-92-Addly 50 y AT 50S,49560.88,,,,
M-9201,Silenc.Yamaha Axis 90.JOG Artistic 50.JOG R y Next,49046.41,,,,
M-9210,Silenciador Yamaha Mint y Razz,49903.86,,,,
M-9250,Silenciador Honda Dax 70,45788.08,,,,
M-9255,Silenciador Honda Elite y Tact 50,49389.39,,,,
M-9256,Silenciador Honda Dio,47502.99,,,,
M-9280,Silenciador Suzuki AE 50,50418.33,,,,
M-9282,Silenciador Suzuki Address 60,50246.84,,,,
M-9283,Silenciador Suzuki Address 100,46302.55,,,,
M-9284,Silenciador Suzuki FA,42872.73,,,,
M-9400,Silenciador Yamaha Kripton,49732.37,,,,
M-9450,Silenciador Kawasaki Kazer 110,49389.39,,,,
M-9500,Sil.Honda NF100 Wave y Guerrero G110 DL(3 rayos),46474.04,,,,
M-9502,Silenciador Honda C 105 Biz,45788.08,,,,
M-9600,Silenciador Guerrero G 110 DL,47674.48,,,,
M-9602,Silenciador Guerrero G-100 Trip,49046.41,,,,
M-9700,Silenciador Mondial LD 110,47674.48,,,,
M-9800,Silenciador Motomel Eco 70,47331.5,,,,
M-9900,Silenciador Gilera Smash 110,45445.1,,,,
ME-9000,Silenciador Economico Zanella V2-V3,34298.19,,,,
ME-9001,Silenciador Economico Zanella Due,32583.28,,,,
ME-9002,Silenciador Economico Zanella Pocket,35155.64,,,,
ME-9003,Silenc.Economico Zanella DUE '91.Fire y Sol Full,33097.75,,,,
ME-9004,Silenciador Economico Zanella V.R.,35327.13,,,,
ME-9005,Silenc.Econ.Zanella Sol Plus y New Fire Plus 5T,33612.22,,,,
ME-9030,Silenciador Economico Juki J2L,36184.59,,,,
ME-9031,Silenciador Economico Juki Dribbling,36184.59,,,,
ME-9050,Silenciador Economico Garelli NOI,36870.55,,,,
ME-9051,Silenciador Economico Garelli Team,36870.55,,,,
ME-9052,Silenciador Economico Garelli NOI '92,37385.02,,,,
ME-9053,Silenciador Economico Garelli NOI Matic,36699.06,,,,
ME-9070,Silenciador Economico Pumita,36184.59,,,,
ME-9071,Silenciador Economico Pumita Fifty,36184.59,,,,
ME-9080,Silenciador Economico Da Dalt,36013.1,,,,
ME-9081,Silenciador Da Dalt 3T-Standar R16.R12 y Ciclocarg,36527.57,,,,
ME-9082,Silenciador Economico Da Dalt B/G,36527.57,,,,
ME-9090,Silenciador Economico Kirdy,35498.62,,,,
ME-9091,Silenciador Economico Jialing,36184.59,,,,
ME-9095,Silenciador Economico Daelim,36870.55,,,,
PA-100,Porta Auxiliar S-10. Ranger y Hilux,406740.1,,,,
PA-200,Porta Auxiliar VW Amarok,398465.26,,,,
PA-400,Porta Auxiliar Ford Ranger (23 ->),419889.17,,,,
REPUE-2,REPUESTOS CORTADORA,20397.17,,,,
S-9000,"Sordina chica diam.1""1/2",9661.82,,,,
S-9001,"Sordina grande diam.2""1/4",9661.82,,,,
SEU-1,Sellador para Ca¤os de Escape,3619.66,,,,
SEU-2,Sellador Sachet (Regidor),5260.32,,,,
SO-920,Soporte Ami 8- Aro,1878.69,,,,
SO-921,Soporte Fiat 1500-125-Trasero Corto,1825.01,,,,
SO-922,Soporte Fiat 1500 - 125 Gancho corto,4461.71,,,,
SO-923,Soporte Fiat 128 - Gancho largo,4664.52,,,,
SO-924,Soporte Fiat 128 - Trasero,2535.06,,,,
SO-925,Soporte Ford Falcon Corto,3690.86,,,,
SO-926,Soporte Ford Falcon Largo,3690.86,,,,
SO-927,Soporte Ford Taunus,1449.27,,,,
SO-928,Soporte Duna - Uno Delantero y Opel - Aro,1180.89,,,,
SO-929,Soporte Peugeot 404 - Carretel,4938.26,,,,
SO-931,Soporte Peugeot 504 - Aro,4765.92,,,,
SO-931/1,Soporte Peugeot Reforma,3220.61,,,,
SO-932,Soporte Peugeot Tira Corta - 2 agujeros,3447.69,,,,
SO-933,Soporte Renault 4L -R6 - R12,3447.69,,,,
SO-933/1,Soporte Renault 4L-R6-R12- Reforma,3381.63,,,,
SO-934,Soporte Renault R12 - Grande,4056.1,,,,
SO-934/1,Soporte Renault R21 Salida Motor,4056.1,,,,
SO-935,Soporte Torino IKA,3954.7,,,,
SO-936,Soporte Torino TSX,9393.43,,,,
SO-937,Soporte Universal p/abrazaderas,4918.03,,,,
SO-938,Universal doble soporte de goma,7461.07,,,,
SO-939,Soporte Pick-Up F100 - Delantero (66/82),11272.12,,,,
SO-941,Soporte Pick-Up F100 Delantero (82/86),11808.89,,,,
SO-942,Soporte Pick-Up F100 - Trasero (66/82),11808.89,,,,
SO-943,Soporte Pick-Up F100 - Trasero (82/87),15405.23,,,,
SO-944,Soporte R18 Delantero y Trafic Trasero,1610.3,,,,
SO-945,Soporte R18 Trasero y Trafic Delantero,1341.92,,,,
SO-946,Soporte Dodge Tira 3 Agujeros,1717.66,,,,
SO-947,Soporte Duna - Uno - Trasero y Regatta inter.,1663.98,,,,
SO-948,Soporte Dodge Reforma,1878.69,,,,
SO-950,Soporte Citr”en Visa,1610.3,,,,
SO-951,Tira de goma 50 cm de largo,4884.58,,,,
SO-955,Soporte Ford Sierra,3143.48,,,,
SO-956,Soporte Aro Gacel,1180.89,,,,
SO-957,Soporte Chapa Salida R12,1502.95,,,,
SO-964,Soporte Chapa Caja 505 c/porta resorte,12675.32,,,,
SO-965,Soporte R11 Delantero y R21 Intermedio,1449.27,,,,
SO-966,Soporte Regatta-R11-R21 tras. y Duna-Uno inter.,1449.27,,,,
SO-970,Mensula Fiat 125,16908.18,,,,
SO-971,Soporte Aro Fiat 147,1234.57,,,,
SO-972,Soporte Fiat 147 Ganchos,2636.47,,,,
SO-973,"Regat¢n p/jaula antivuelco 2 1/2""",1395.6,,,,
SO-975,Soporte Chapa Block - F100,4723.55,,,,
SO-976,Soporte Pick-Up F100 - Trasero (88/92),15405.23,,,,
SO-978,"Regat¢n p/jaula antivuelco 3""",1395.6,,,,
SO-979,Mensula Fiat 147,10896.38,,,,
SO-981,Soporte R19,1073.54,,,,
SO-982,Soporte R12 Reforma (3 piezas),1341.92,,,,
SO-983,Soporte Universal Doble,8822.03,,,,
SO-984,Soporte para Cami¢n c/tornillo - 40mm,12371.12,,,,
SO-985,Soporte Clio y Twingo,1582.07,,,,
SO-987,Soporte Gol Nuevo y Pointer,2940.68,,,,
SO-988,Soporte Ford Escort - Orion,6548.56,,,,
SO-989,Soporte F100 - Intermedio (93/96),12399.33,,,,
SO-991,Soporte Ford Transit,1663.98,,,,
SO-992,Soporte Pick-Up F100 - Trasero (98),5636.06,,,,
SO-993,Soporte Fiat Palio Delantero y Tras. Siena tras.,1234.57,,,,
SO-996,Soporte 405 Intermedio y Trasero,3042.08,,,,
SO-997,Soporte Renault Express y Fiorino,1610.3,,,,
SO-998,Soporte Ford Ka,1395.6,,,,
SO-1000,Soporte Peugeot 306 Delantero,1288.24,,,,
SO-1001,Soporte Peugeot 306 Trasero,1395.6,,,,
SO-1003,Soporte R12 Caja,3166.93,,,,
SO-1004,Soporte Renault Megane,2058.1,,,,
SO-1005,Soporte Polo - Golf Trasero,6172.83,,,,
SO-1006,Soporte Gol Nuevo - Seat,1878.69,,,,
SO-1007,Soporte Ford Escort Zetec delant. y tras.,1288.24,,,,
SO-1009,Soporte Ford Fiesta tras. Eco Sport,1610.3,,,,
SO-1010,Soporte Corsa - Blazer,1771.33,,,,
SO-1011,Soporte para Cami¢n c/tornillo - 60mm.,13385.14,,,,
SO-1012,Soporte para Cami¢n c/tornillo 75mm.,13993.56,,,,
SO-1013,Soporte de Goma Ford Focus,1878.69,,,,
SO-1014,Soporte de goma Ford Ranger,1986.04,,,,
SU-100,Supresor error catalizador curvo,11218.43,,,,
SU-101,Supresor error catalizador recto,10681.67,,,,
SU-102,Supresor error catalizador curvo c/rosca macho,17230.23,,,,
SU-103,Supresor error catalizador recto c/rosca macho,16478.75,,,,
TB-940,Tuerca bronce p/Múltipl. Rastrojero,2039.72,,,,
TB-941,Tuerca bronce p/Múltipl. Peugeot,2039.72,,,,
TB-942,Tuerca bronce p/Múltipl. F 100 - Falcon,2039.72,,,,
TB-943,Tuerca bronce p/Múltipl. F100 - Torino 7 banc.,2039.72,,,,
TB-944,Tuerca bronce p/Múltipl. Chevrolet,1878.69,,,,
TB-945,Tuerca bronce p/Múltipl. Torino - Dodge,1878.69,,,,
TB-946,Tuerca bronce p/Múltipl. R12 - Fiat,1502.95,,,,
TB-947,Tuerca bronce p/Múltipl. Toyota,2254.42,,,,
TB-948,Tuerca bronce p/Múltipl. Taunus,3005.9,,,,
